"year","fsi_annual_mean","country"
1992,0.21604029007323,"France"
1993,0.153552945802462,"France"
1994,0.113108313649622,"France"
1995,0.157259069757523,"France"
1996,0.07593550935824,"France"
1997,0.122993238873016,"France"
1998,0.104317366369962,"France"
1999,0.0876697141091364,"France"
2000,0.102678746744337,"France"
2001,0.181501577790282,"France"
2002,0.134546212898796,"France"
2003,0.193919950578358,"France"
2004,0.0835594882111603,"France"
2005,0.0421472405446,"France"
2006,0.0586667675406551,"France"
2007,0.0687887635739336,"France"
2008,0.22666623112859,"France"
2009,0.272987152550884,"France"
2010,0.126302244385876,"France"
2011,0.146116417573534,"France"
2012,0.203117809710935,"France"
2013,0.0973360421378262,"France"
2014,0.0864860199360465,"France"
1964,0.0605452641536429,"United Kingdom"
1965,0.0776350110445296,"United Kingdom"
1966,0.105412873257897,"United Kingdom"
1967,0.0875064008679372,"United Kingdom"
1968,0.0692375457436079,"United Kingdom"
1969,0.22790861211026,"United Kingdom"
1970,0.146233247340409,"United Kingdom"
1971,0.100110391340869,"United Kingdom"
1972,0.192781659283539,"United Kingdom"
1973,0.556704636057065,"United Kingdom"
1974,0.392937979779351,"United Kingdom"
1975,0.264736512492944,"United Kingdom"
1976,0.352827706244205,"United Kingdom"
1977,0.253589764850152,"United Kingdom"
1978,0.166701274013191,"United Kingdom"
1979,0.194317130868855,"United Kingdom"
1980,0.293105425773119,"United Kingdom"
1981,0.236188833325561,"United Kingdom"
1982,0.0806153485383237,"United Kingdom"
1983,0.107481639469879,"United Kingdom"
1984,0.0774036893151479,"United Kingdom"
1985,0.0711272184054966,"United Kingdom"
1986,0.144830106071073,"United Kingdom"
1987,0.138982866933702,"United Kingdom"
1988,0.194198451030905,"United Kingdom"
1989,0.155118162559223,"United Kingdom"
1990,0.186394244727799,"United Kingdom"
1991,0.0848391617748086,"United Kingdom"
1992,0.149755334364401,"United Kingdom"
1993,0.108737132449415,"United Kingdom"
1994,0.060200573801075,"United Kingdom"
1995,0.0535420901675355,"United Kingdom"
1996,0.0751296846816495,"United Kingdom"
1997,0.127558753472291,"United Kingdom"
1998,0.0996546602520433,"United Kingdom"
1999,0.0979710591321727,"United Kingdom"
2000,0.147306612782628,"United Kingdom"
2001,0.150746403412012,"United Kingdom"
2002,0.0876290572995418,"United Kingdom"
2003,0.127410430370541,"United Kingdom"
2004,0.0999340746587378,"United Kingdom"
2005,0.0483702518729306,"United Kingdom"
2006,0.0752903840388642,"United Kingdom"
2007,0.122519740131168,"United Kingdom"
2008,0.351046230018688,"United Kingdom"
2009,0.40585276300577,"United Kingdom"
2010,0.18569678894886,"United Kingdom"
2011,0.0995758085019962,"United Kingdom"
2012,0.0994638474754839,"United Kingdom"
2013,0.0691715799522628,"United Kingdom"
2014,0.0550458597649613,"United Kingdom"
1992,0.178045888750731,"Greece"
1993,0.149632590771552,"Greece"
1994,0.10586815244123,"Greece"
1995,0.0617197391012018,"Greece"
1996,0.0419013939701541,"Greece"
1997,0.160139099464223,"Greece"
1998,0.30616349527819,"Greece"
1999,0.16488190724586,"Greece"
2000,0.199856014964142,"Greece"
2001,0.0965090129635059,"Greece"
2002,0.0682836939982492,"Greece"
2003,0.0777381203276508,"Greece"
2004,0.058203980224109,"Greece"
2005,0.0703560481367825,"Greece"
2006,0.0778071461027439,"Greece"
2007,0.0681839730924822,"Greece"
2008,0.198509296301159,"Greece"
2009,0.300108563738134,"Greece"
2010,0.29899876534298,"Greece"
2011,0.31281098413157,"Greece"
2012,0.400323701809578,"Greece"
2013,0.163264651672027,"Greece"
2014,0.113675807531338,"Greece"
1999,0.209202668925464,"Croatia"
2000,0.0945556326702828,"Croatia"
2001,0.0594483556361401,"Croatia"
2002,0.0469096764450914,"Croatia"
2003,0.0732333553560279,"Croatia"
2004,0.102429803251344,"Croatia"
2005,0.0730492843458247,"Croatia"
2006,0.0695247030484461,"Croatia"
2007,0.0793715209734306,"Croatia"
2008,0.177233664192761,"Croatia"
2009,0.175367781068751,"Croatia"
2010,0.160753678981831,"Croatia"
2011,0.112281677742098,"Croatia"
2012,0.118731072519877,"Croatia"
2013,0.0704647958421614,"Croatia"
2014,0.036142654472345,"Croatia"
1999,0.103557963176551,"Hungary"
2000,0.0734707285008814,"Hungary"
2001,0.126236909918421,"Hungary"
2002,0.166330921604555,"Hungary"
2003,0.099880074008888,"Hungary"
2004,0.0696866547952568,"Hungary"
2005,0.104639466581314,"Hungary"
2006,0.184420712001755,"Hungary"
2007,0.0470564639014926,"Hungary"
2008,0.412595972350322,"Hungary"
2009,0.555984946731564,"Hungary"
2010,0.188919778530118,"Hungary"
2011,0.253113191331287,"Hungary"
2012,0.207868804588056,"Hungary"
2013,0.0900476869794894,"Hungary"
2014,0.0474897908622823,"Hungary"
1983,0.17779015075464,"Ireland"
1984,0.0594374974068951,"Ireland"
1985,0.0389674490117171,"Ireland"
1986,0.0908954997531704,"Ireland"
1987,0.0927466594093166,"Ireland"
1988,0.135708957206624,"Ireland"
1989,0.0887381228556137,"Ireland"
1990,0.129146572839495,"Ireland"
1991,0.183137371580357,"Ireland"
1992,0.245446314506721,"Ireland"
1993,0.309815314976491,"Ireland"
1994,0.114191374958779,"Ireland"
1995,0.0468614086393485,"Ireland"
1996,0.0378793435593729,"Ireland"
1997,0.10566170315432,"Ireland"
1998,0.185352679006977,"Ireland"
1999,0.274871391909587,"Ireland"
2000,0.148246398159638,"Ireland"
2001,0.195279547941224,"Ireland"
2002,0.306796225402715,"Ireland"
2003,0.307812624933518,"Ireland"
2004,0.108130162976725,"Ireland"
2005,0.040860881177511,"Ireland"
2006,0.0920666511695572,"Ireland"
2007,0.231186292093995,"Ireland"
2008,0.562099626917838,"Ireland"
2009,0.570756127397844,"Ireland"
2010,0.519140310360685,"Ireland"
2011,0.274241513302349,"Ireland"
2012,0.165188140084133,"Ireland"
2013,0.070571903541836,"Ireland"
2014,0.111891271382708,"Ireland"
1964,0.156360636271689,"Italy"
1965,0.07287420967092,"Italy"
1966,0.050109368079187,"Italy"
1967,0.0855267584369385,"Italy"
1968,0.0760689088564686,"Italy"
1969,0.0640424055246611,"Italy"
1970,0.0622850306907161,"Italy"
1971,0.214284678732684,"Italy"
1972,0.157636408593967,"Italy"
1973,0.116131431079899,"Italy"
1974,0.163314002104206,"Italy"
1975,0.197178798446808,"Italy"
1976,0.476181877115669,"Italy"
1977,0.2294423432384,"Italy"
1978,0.244039534882497,"Italy"
1979,0.0774667645771588,"Italy"
1980,0.0569511035168349,"Italy"
1981,0.152124885228399,"Italy"
1982,0.164985922287724,"Italy"
1983,0.168493818344589,"Italy"
1984,0.0815623071718567,"Italy"
1985,0.0707832173680641,"Italy"
1986,0.119147044207872,"Italy"
1987,0.0442330785458792,"Italy"
1988,0.0369100542115299,"Italy"
1989,0.133852478423102,"Italy"
1990,0.0997632834530835,"Italy"
1991,0.0994391852051827,"Italy"
1992,0.328133510313062,"Italy"
1993,0.356888603757829,"Italy"
1994,0.181501925774761,"Italy"
1995,0.24668814092137,"Italy"
1996,0.188752725720585,"Italy"
1997,0.0572309396049558,"Italy"
1998,0.092857605966992,"Italy"
1999,0.0951465279672025,"Italy"
2000,0.0760657679577148,"Italy"
2001,0.10128624961991,"Italy"
2002,0.069662289525636,"Italy"
2003,0.0397780565413696,"Italy"
2004,0.027765278981345,"Italy"
2005,0.028285275810271,"Italy"
2006,0.0240446939692712,"Italy"
2007,0.0312948837225049,"Italy"
2008,0.225508149224578,"Italy"
2009,0.254210756101114,"Italy"
2010,0.271119989982537,"Italy"
2011,0.156837661480371,"Italy"
2012,0.19284180758816,"Italy"
2013,0.115766930661305,"Italy"
2014,0.064303933045149,"Italy"
2003,0.0844078910037315,"Lithuania"
2004,0.0469129918716552,"Lithuania"
2005,0.0707994745546305,"Lithuania"
2006,0.0536226011023427,"Lithuania"
2007,0.0715367484973545,"Lithuania"
2008,0.136359208209369,"Lithuania"
2009,0.43763765574117,"Lithuania"
2010,0.273776399081057,"Lithuania"
2011,0.10062321695842,"Lithuania"
2012,0.0619674799674224,"Lithuania"
2013,0.0612746489882595,"Lithuania"
2014,0.0743399919750017,"Lithuania"
1994,0.132050293023619,"Luxembourg"
1995,0.279797413191607,"Luxembourg"
1996,0.19751236496773,"Luxembourg"
1997,0.116924718117603,"Luxembourg"
1998,0.0997576317532892,"Luxembourg"
1999,0.18770672754609,"Luxembourg"
2000,0.156869819529958,"Luxembourg"
2001,0.150069882375173,"Luxembourg"
2002,0.169060633189134,"Luxembourg"
2003,0.123888541633267,"Luxembourg"
2004,0.0830571776188475,"Luxembourg"
2005,0.0387846787796331,"Luxembourg"
2006,0.0817677447328576,"Luxembourg"
2007,0.0879838003804203,"Luxembourg"
2008,0.261925450770811,"Luxembourg"
2009,0.380870792420191,"Luxembourg"
2010,0.213070967643757,"Luxembourg"
2011,0.186724716584785,"Luxembourg"
2012,0.207079277514435,"Luxembourg"
2013,0.162960980014517,"Luxembourg"
2014,0.0785098829319072,"Luxembourg"
2004,0.0903722327498411,"Latvia"
2005,0.0604932439329059,"Latvia"
2006,0.100008834664829,"Latvia"
2007,0.102000690490754,"Latvia"
2008,0.102693792548483,"Latvia"
2009,0.334813835216028,"Latvia"
2010,0.312762719768382,"Latvia"
2011,0.0683020740781335,"Latvia"
2012,0.0490920517446882,"Latvia"
2013,0.0427565193826299,"Latvia"
2014,0.0735248625188555,"Latvia"
1998,0.10400003091009,"Malta"
1999,0.0823973837932412,"Malta"
2000,0.0819709619596599,"Malta"
2001,0.210671589041373,"Malta"
2002,0.22557493812342,"Malta"
2003,0.136423191691226,"Malta"
2004,0.0767710677638541,"Malta"
2005,0.0681541252507264,"Malta"
2006,0.122183576017439,"Malta"
2007,0.129578766006256,"Malta"
2008,0.150818939271045,"Malta"
2009,0.167263574951201,"Malta"
2010,0.328796238714258,"Malta"
2011,0.221831623017743,"Malta"
2012,0.191241273617595,"Malta"
2013,0.0934447702829855,"Malta"
2014,0.0723195744012381,"Malta"
1964,0.0463625983400836,"Netherlands"
1965,0.0553210230241445,"Netherlands"
1966,0.0938170018452713,"Netherlands"
1967,0.0555162555261153,"Netherlands"
1968,0.0463795268598602,"Netherlands"
1969,0.0852110326721547,"Netherlands"
1970,0.121320994432942,"Netherlands"
1971,0.142776281211662,"Netherlands"
1972,0.078832122709485,"Netherlands"
1973,0.142353520769183,"Netherlands"
1974,0.139943378795187,"Netherlands"
1975,0.137855894773933,"Netherlands"
1976,0.105177991214473,"Netherlands"
1977,0.0722822249291375,"Netherlands"
1978,0.115887218091308,"Netherlands"
1979,0.105442976042287,"Netherlands"
1980,0.173666791197871,"Netherlands"
1981,0.37579938150634,"Netherlands"
1982,0.27821174267932,"Netherlands"
1983,0.133208358710334,"Netherlands"
1984,0.0684819700987754,"Netherlands"
1985,0.0757494731906281,"Netherlands"
1986,0.0930648962162138,"Netherlands"
1987,0.113318127457683,"Netherlands"
1988,0.105647534856926,"Netherlands"
1989,0.0694145131806776,"Netherlands"
1990,0.0597220751914357,"Netherlands"
1991,0.0694601484569708,"Netherlands"
1992,0.0864429434550002,"Netherlands"
1993,0.0578346640270148,"Netherlands"
1994,0.0756907588228879,"Netherlands"
1995,0.0608859638658363,"Netherlands"
1996,0.0668002903976981,"Netherlands"
1997,0.13664872297135,"Netherlands"
1998,0.137801220586142,"Netherlands"
1999,0.120978712457995,"Netherlands"
2000,0.106592965994935,"Netherlands"
2001,0.101171565229863,"Netherlands"
2002,0.148487639039351,"Netherlands"
2003,0.341885624794856,"Netherlands"
2004,0.121407081267555,"Netherlands"
2005,0.029890535684003,"Netherlands"
2006,0.0338490624721582,"Netherlands"
2007,0.0586502902278262,"Netherlands"
2008,0.175395072207678,"Netherlands"
2009,0.174784989263484,"Netherlands"
2010,0.234272563774099,"Netherlands"
2011,0.103372761571864,"Netherlands"
2012,0.101571800855882,"Netherlands"
2013,0.0643116694762867,"Netherlands"
2014,0.0390265050943753,"Netherlands"
1999,0.0904075269019555,"Poland"
2000,0.107345560771766,"Poland"
2001,0.285627964414645,"Poland"
2002,0.160801706791487,"Poland"
2003,0.0628887119322606,"Poland"
2004,0.0542955464834331,"Poland"
2005,0.0392010680959963,"Poland"
2006,0.0773628461499147,"Poland"
2007,0.100870705270739,"Poland"
2008,0.211766186333455,"Poland"
2009,0.23135130381804,"Poland"
2010,0.0542931727619621,"Poland"
2011,0.179485488125585,"Poland"
2012,0.131300109651875,"Poland"
2013,0.0456742837906652,"Poland"
2014,0.0303485980317451,"Poland"
1977,0.165298118632,"Portugal"
1978,0.331368312273301,"Portugal"
1979,0.164626625146111,"Portugal"
1980,0.0583802530897902,"Portugal"
1981,0.0489704344935817,"Portugal"
1982,0.0649832103573929,"Portugal"
1983,0.0928247647566239,"Portugal"
1984,0.0844092306590116,"Portugal"
1985,0.0636810141164403,"Portugal"
1986,0.0555060114180563,"Portugal"
1987,0.042880170986977,"Portugal"
1988,0.0521626270494612,"Portugal"
1989,0.144741699181439,"Portugal"
1990,0.0812028226657436,"Portugal"
1991,0.249672771653468,"Portugal"
1992,0.227019996313776,"Portugal"
1993,0.125320156193655,"Portugal"
1994,0.0647303615669621,"Portugal"
1995,0.0598749421569137,"Portugal"
1996,0.0392230121843135,"Portugal"
1997,0.130222383449753,"Portugal"
1998,0.0806304133112579,"Portugal"
1999,0.0457733997395513,"Portugal"
2000,0.0812351174982075,"Portugal"
2001,0.0380871489833148,"Portugal"
2002,0.0744079935793737,"Portugal"
2003,0.0517886530276968,"Portugal"
2004,0.0214615757979579,"Portugal"
2005,0.0178167245110449,"Portugal"
2006,0.0462022304093302,"Portugal"
2007,0.0656917942294601,"Portugal"
2008,0.197016047682658,"Portugal"
2009,0.205861204592766,"Portugal"
2010,0.179817753416458,"Portugal"
2011,0.174986159901676,"Portugal"
2012,0.249886526375762,"Portugal"
2013,0.142327201178251,"Portugal"
2014,0.0817317077410751,"Portugal"
2002,0.091551098593614,"Romania"
2003,0.0449583278506759,"Romania"
2004,0.107130221300529,"Romania"
2005,0.113975708942571,"Romania"
2006,0.0914486232858346,"Romania"
2007,0.102607332465319,"Romania"
2008,0.243202088293351,"Romania"
2009,0.329754867739734,"Romania"
2010,0.196112105449723,"Romania"
2011,0.131978798992288,"Romania"
2012,0.217253690016679,"Romania"
2013,0.129684501007106,"Romania"
2014,0.0900726022397554,"Romania"
1964,0.0666464581152462,"Sweden"
1965,0.068526829992829,"Sweden"
1966,0.101891521624359,"Sweden"
1967,0.0841051950961798,"Sweden"
1968,0.137340617547765,"Sweden"
1969,0.0445135955142546,"Sweden"
1970,0.0486448159715203,"Sweden"
1971,0.168493011772715,"Sweden"
1972,0.109502305881175,"Sweden"
1973,0.0505861957557584,"Sweden"
1974,0.134612289729536,"Sweden"
1975,0.155116740341346,"Sweden"
1976,0.154576481636,"Sweden"
1977,0.262659947774022,"Sweden"
