unit,sector,na_item,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
MIO_EUR,S1,B5GQ,EU25	13738179.4 	13351566.3 	13261374.4 	13023162.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,EU27	13928281.3 	13534254.0 	13433903.2 	13194584.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,EU28	13969979.4 	13576947.2 	13476447.6 	13238048.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,FI	204952.0 	203456.0 	200836.0 	197761.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,FR	2174474.9 	2149672.9 	2116527.9 	2106702.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,HR	41698.1 	42693.2 	42544.4 	43464.1 	43692.9 	43539.2 	46737.2 	42978.7 	39194.0 	35675.0 	32903.4 	29677.7 	28046.5 	25440.0 	23127.6 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,HU	99630.0 	98381.8 	94724.2 	95810.2 	93632.9 	89412.9 	100915.9 	94900.8 	86667.1 	85654.4 	79089.4 	71809.9 	68052.4 	56985.2 	48726.9 	43465.1 	40988.2 	39431.9 	35274.8 	34179.8 
MIO_EUR,S1,B5GQ,IE	163917.0 	153165.0 	144702.0 	143271.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,IT	1613410.1 	1602745.9 	1611284.6 	1633443.4 	1601576.4 	1571979.3 	1617650.9 	1611053.2 	1554509.8 	1492063.4 	1446114.4 	1384179.6 	1340097.2 	1295155.1 	1234822.2 	1170078.7 	1125382.1 	1089192.1 	1021379.8 	884760.6 
MIO_EUR,S1,B5GQ,LT	36004.6 	34052.5 	32328.6 	30115.1 	27505.6 	27437.6 	31581.5 	27947.3 	23619.7 	20721.5 	17882.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,LU	32726.6 	30606.3 	30416.9 	29490.6 	25726.8 	23703.9 	29775.1 	29176.5 	24196.1 	26262.2 	22450.5 	20425.3 	20208.8 	18314.3 	17243.4 	17947.8 	15991.4 	15815.5 	15181.1 	14750.2 
MIO_EUR,S1,B5GQ,LV	23654.0 	22721.8 	21833.0 	20138.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,MT	7588.0 	7144.9 	6888.2 	6669.2 	6321.3 	5805.4 	6032.6 	5600.7 	5170.0 	4959.2 	4850.3 	4737.6 	4732.5 	4561.9 	4259.4 	3855.6 	3482.4 	3328.2 	2992.1 	2841.6 
MIO_EUR,S1,B5GQ,NL	671126.0 	663703.0 	658450.0 	654687.0 	636626.0 	618092.0 	627275.0 	622586.0 	591151.0 	547771.0 	533217.0 	513821.0 	495312.0 	476297.0 	456855.0 	421191.0 	385784.0 	367719.0 	357032.2 	346849.2 
MIO_EUR,S1,B5GQ,NO	385555.2 	397394.9 	399941.7 	361618.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,PL	396504.6 	381492.6 	374856.5 	366552.9 	348900.5 	305171.5 	357279.7 	303117.3 	267627.5 	240530.2 	198284.0 	190414.1 	209436.9 	211883.7 	185704.3 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,PT	171118.7 	167974.6 	164316.6 	172772.4 	148964.5 	145350.1 	148966.1 	147223.7 	139207.3 	132756.7 	127708.5 	122659.0 	120114.1 	114711.6 	108818.3 	101829.8 	110138.2 	102953.7 	96987.7 	91754.2 
MIO_EUR,S1,B5GQ,RO	147319.4 	141538.1 	131720.4 	132022.5 	125551.5 	119364.9 	139631.3 	121999.4 	95139.5 	77871.8 	58845.6 	51714.2 	48298.3 	45160.5 	40458.1 	33502.2 	36858.4 	31369.5 	28929.2 	28501.0 
